cell,carrier_key,carrier_name,ac_type,seats_band,range_band,n_flights,n_tails,n_active_days,n_flights_with_number,first_date,last_date,s1,s1_den_flights,n_keys,s2,s2_n_days,avg_departures,s2_note,s3,s4,s4_entropy_norm,n_pairs,n_singletons,s1_imputed,label,low_confidence,pc1,pc2
SWT::B752|NA|short,SWT,Swiftair,B752,NA,short,99,2,30,99,2022-06-29,2023-02-26,0.8282828282828283,99,20.0,0.35612031712504244,243,0.4074074074074074,ok,0.06172839506172839,0.9,0.8523182623778051,10.0,1.0,False,,True,0.6130893150250378,1.7362690122459987
SWU::DH8D|20-99|regional,SWU,SkyAlps,DH8D,20-99,regional,108,1,32,108,2026-01-31,2026-03-28,0.5740740740740741,108,32.0,0.2237084159979763,57,1.894736842105263,ok,0.5614035087719298,0.875,0.8796264200183767,16.0,2.0,False,,True,0.6682940268300813,0.7206459609512823
SXS::B738|180-239|regional,SXS,SunExpress,B738,180-239,regional,4,2,3,4,2024-04-27,2025-02-03,0.0,4,4.0,0.0,283,0.014134275618374558,ok,0.005300353356890459,0.33333333333333337,0.946394630357186,3.0,2.0,True,,True,-2.423404478788714,0.22158554687035442
SXS::B738|180-239|short,SXS,SunExpress,B738,180-239,short,10,5,4,10,2023-04-30,2025-02-04,0.0,10,10.0,0.000857576754716538,647,0.015455950540958269,ok,0.0015455950540958269,0.6666666666666667,0.9756149631508355,6.0,2.0,True,,True,-1.840432731177733,-0.18157208177007306
SYG::B38M|180-239|medium,SYG,Ascend Airways,B38M,180-239,medium,172,1,91,155,2025-09-23,2026-02-26,0.6064516129032258,155,61.0,0.12989568192214485,157,1.0955414012738853,ok,0.5796178343949044,0.6571428571428571,0.6758298210295766,35.0,12.0,False,,True,0.1444387673046805,0.356487613513221
TAG AVIATION ASIA::GLF6|NA|medium,TAG AVIATION ASIA,TAG Aviation Asia,GLF6,NA,medium,58,1,43,25,2022-06-05,2023-01-17,0.0,23,23.0,0.010715492927097836,227,0.2555066079295154,ok,0.1894273127753304,0.2222222222222222,0.9834599634216129,45.0,35.0,True,,True,-2.3177894077789722,0.3527884040391169
TAI::A20N|180-239|medium,TAI,Avianca El Salvador,A20N,180-239,medium,702,1,191,701,2025-07-25,2026-02-23,0.49072753209700426,701,300.0,0.0,214,3.2803738317757007,ok,0.8925233644859814,0.987012987012987,0.9156241993370591,77.0,1.0,False,,False,0.7408508715835516,-1.0216859027898308
TAI::A20N|180-239|short,TAI,Avianca El Salvador,A20N,180-239,short,20707,11,1366,20703,2022-05-31,2026-02-26,0.9578805004105685,20703,846.0,0.018264928249087875,1368,15.136695906432749,ok,0.9868131868131869,0.9044117647058824,0.737023035893714,136.0,13.0,False,,False,1.4256046125553306,-0.9052155618134644
TAI::A320|180-239|regional,TAI,Avianca El Salvador,A320,180-239,regional,5391,3,549,5379,2024-08-16,2026-02-26,0.8010412792859799,5378,1041.0,0.0,560,9.626785714285715,ok,0.9053571428571429,0.9365079365079365,0.850875016520346,126.0,8.0,False,,False,1.1010012306406245,-1.0092276553909145
TAI::A320|180-239|short,TAI,Avianca El Salvador,A320,180-239,short,7518,5,1235,7517,2022-06-01,2026-02-26,0.897432486364241,7517,756.0,0.0001051649380192643,1367,5.499634235552304,ok,0.9814814814814815,0.9900990099009901,0.7895414217411088,101.0,1.0,False,,False,1.4435226550192732,-1.1199004478456596
TAM::A20N|180-239|short,TAM,LATAM Airlines Brasil,A20N,180-239,short,9727,14,126,9727,2024-04-07,2024-08-10,0.929474658167986,9727,981.0,0.26108587752682,126,77.1984126984127,ok,0.9920634920634921,0.971830985915493,0.9114993047576792,142.0,4.0,False,fsc,False,2.0632361156218675,0.6189179887868189
TAM::A21N|180-239|short,TAM,LATAM Airlines Brasil,A21N,180-239,short,7243,14,126,7243,2024-04-07,2024-08-10,0.9653458511666436,7243,461.0,0.09776713153541339,126,57.48412698412698,ok,0.9920634920634921,0.961038961038961,0.8858693190413411,77.0,3.0,False,fsc,False,1.723715288971431,-0.45260280388711105
